"method","N","T_","Mean beta1","SD beta1","Mean beta2","SD beta2"
"Least Squares",100,10,1.01719429607652,0.00620948067662273,3.02325500578243,0.00509600156985798
"Least Squares",100,20,1.01421443318482,0.00449464941721592,3.01493347827196,0.00285887727537147
"Least Squares",100,50,1.0140504103616,0.00129961941254097,3.00614459025681,0.00118213013218848
"Least Squares",100,100,1.00418469328586,0.000675537608949996,3.00649852963959,0.000663062592326683
"Least Squares",10,100,1.04143981782095,0.00838453522173791,3.02096033675979,0.0102996378194995
"Least Squares",20,100,1.0137219455974,0.00468485913770967,3.02076321955555,0.00424022164880642
"Least Squares",50,100,1.00546102689046,0.00164414288334874,3.01117326539548,0.00164272097517274
"Fixed Effects",100,10,0.995700085484629,0.00454832765954419,2.99948304857688,0.00414429236782434
"Fixed Effects",100,20,0.999436263509521,0.002943271816746,2.99993336035929,0.00211423022450501
"Fixed Effects",100,50,1.00457808400748,0.000941487200060108,2.99680606700656,0.000638390896360271
"Fixed Effects",100,100,0.999172329732406,0.000434377463627174,3.00070113856886,0.00040995780176669
"Fixed Effects",10,100,1.00425688103254,0.00385301102767732,2.98655622019369,0.0053438902131524
"Fixed Effects",20,100,0.99256952758359,0.00210407639118395,2.99858631371214,0.0019996280771368
"Fixed Effects",50,100,0.996074681901751,0.000793372376062226,3.00141524223106,0.000629293209145845
