"r","N","T_","Mean beta1","SD beta1","SDE beta1","Mean beta2","SD beta2","SDE beta2","Mean mu","SD mu","SDE mu","Mean gamma","SD gamma","SDE gamma","Mean delta","SD delta","SDE delta"
1,50,50,1.29389801162083,0.304049213191499,4.16186698105682,3.29394303623489,0.304443367827905,4.15834509881496,2.12728098321513,3.70130869633793,35.2094123903484,1.98638727257851,0.237176688166106,11.0931737802812,3.97857156930286,0.186401586234867,5.68769141727207
2,50,50,1.0205051606695,0.0615679004392647,1.73728426675273,3.02098926703885,0.0641292697184501,1.73844417285081,4.96984351548665,1.03828570687938,5.43096008213805,1.98637868576069,0.245893765821951,2.02399436979536,3.99705708997994,0.165700295055601,2.41958641788897
3,50,50,1.01769785367635,0.0581647411095658,1.63163412371556,3.02069729540796,0.0584311264978934,1.63081942346497,4.93244157554397,0.155581911834271,2.87490814935512,1.99793039258028,0.0535415007757145,1.67257200701669,4.00245576653499,0.0521528020026932,1.90708267861817
4,50,50,1.01806113850852,0.0587649228728691,1.60177484531767,3.01780627262183,0.0586615959524498,1.60182576058682,4.93671545733787,0.161732279165364,2.80952375330802,2.00042813376658,0.0540148337026766,1.63976063967461,4.00134188308151,0.0519896567266771,1.88259469344514
5,50,50,1.02102404248096,0.061877084152068,1.59507501194059,3.02328222265646,0.0639403804484948,1.59393762145228,4.91987006592893,0.235105660216552,2.89430356250181,1.99858990295603,0.0601128907120236,1.64708968684659,4.00720942056232,0.0630846858741688,1.88621932566234
6,50,50,1.0214919059408,0.0624950127452899,1.56818590042259,3.02028784252266,0.0619691263436682,1.56985967855809,4.92399523264359,0.179419511204678,2.79706141924464,2.00300446954484,0.0631014088218202,1.62161775401202,3.99902743147349,0.0654204263930257,1.87120680486253
7,50,50,1.01565560104161,0.0645086615607517,1.55515685882015,3.01857914930318,0.0643163238930661,1.55383220651029,4.9342492369561,0.193256831824679,2.79550295289057,1.99833355296467,0.0610078081707722,1.60988171333462,3.99858305983127,0.0859931917002692,1.89346179684154
8,50,50,1.02118944111981,0.0670634270681852,1.53885121339961,3.01679984167961,0.066493210013186,1.53590754368094,4.92864636795618,0.191269620472294,2.72540351981998,1.99516894354751,0.0666225756015473,1.592039195122,3.99742864400019,0.0913757147339415,1.86036615230416
9,50,50,1.02322414737016,0.0698177300867865,1.53048510279772,3.02015598359274,0.0708300831506497,1.53086083579117,4.91490661091132,0.223905201765772,2.82886456242702,1.99998479644503,0.080350353775587,1.6078440503576,3.99429826020828,0.135122960169493,2.01371155059983
10,50,50,1.02008278769085,0.0743563320011186,1.52251770336293,3.01792816790861,0.0744789644795618,1.52400728441935,4.91985307209694,0.234976199436052,2.87753141149151,2.00589670987155,0.0803865170343613,1.59935897924959,4.00361728429921,0.140541595561981,1.99983957650125
