"method","N","T_","Mean beta1","SD beta1","Mean beta2","SD beta2","Mean mu","SD mu"
"Least Squares",100,10,1.07306100148716,0.139813520916355,3.07047733080845,0.136795121526469,4.52654021803044,1.26613192371815
"Least Squares",100,20,1.02791966605379,0.0721258163819051,3.0276120541638,0.0732205394901791,4.89788872711373,0.264311750293691
"Least Squares",100,50,1.00875840348652,0.0356385354214973,3.01025905754846,0.0350308836862669,4.97402249324449,0.0737272394436016
"Least Squares",100,100,1.00516226918598,0.0231969704360972,3.00423703909952,0.022863445698833,4.98910666931721,0.0428153165950365
"Least Squares",10,100,1.07554360293124,0.142307065605933,3.07260703833514,0.14028461171183,4.53379787990725,1.14859958364338
"Least Squares",20,100,1.02536266081702,0.0737871897046647,3.02709411116428,0.0757413175833261,4.89301297846103,0.269236288878706
"Least Squares",50,100,1.00680335258289,0.0355063719541421,3.00724333022035,0.0336662820633526,4.97940215982899,0.0716282148899661
"Fixed Effects",100,10,1.22481814849288,0.234455382371499,3.22557511284145,0.235543597808676,NA,NA
"Fixed Effects",100,20,1.2240196870363,0.229141797914893,3.2196288946945,0.224265836732693,NA,NA
"Fixed Effects",100,50,1.22076175720183,0.223004748356104,3.22222153015976,0.224394977023844,NA,NA
"Fixed Effects",100,100,1.22219740001402,0.223551621618017,3.22057220563317,0.221918084815588,NA,NA
"Fixed Effects",10,100,1.2152575058355,0.226464037493639,3.2163878248684,0.227063562012772,NA,NA
"Fixed Effects",20,100,1.21806377887923,0.223405314924342,3.21785148560846,0.223239630955302,NA,NA
"Fixed Effects",50,100,1.22032631370626,0.222545303937993,3.22142499284556,0.223578910897245,NA,NA
