"method","N","T_","Mean beta1","SD beta1","Mean beta2","SD beta2","Mean mu","SD mu","Mean gamma","SD gamma","Mean delta","SD delta"
"Least Squares",100,10,1.10595691178317,0.178333393886643,3.10741538320206,0.176335598902275,4.64972618443347,2.95790217032883,1.90986427550844,0.725920326470425,3.9506888513622,0.375895718791106
"Least Squares",100,20,1.03243004048555,0.0904712439653449,3.03728247669082,0.0928017010316203,5.01210865660712,1.93015239135353,1.97864116541083,0.416010775648012,3.97899194256517,0.330264687874309
"Least Squares",100,50,1.01028465629625,0.039339792115579,3.00840836901251,0.0388298401439794,5.05943015891543,1.1417232593036,1.98172208692822,0.3945587643879,3.97679591249948,0.407255585419334
"Least Squares",100,100,1.00489608373638,0.024211653228764,3.00485987629295,0.023436460520443,5.01949926935334,0.991531732034038,1.99980627587818,0.0220212464011925,3.98943673740625,0.334058311720033
"Least Squares",10,100,1.10819253265391,0.176211395610688,3.10909552563357,0.175793432423195,4.64408626063571,2.88699468840734,1.91519473685265,0.627307176410085,3.94865717637363,0.59859529406142
"Least Squares",20,100,1.03723755808027,0.0900554254600308,3.03895566326891,0.0935297418209059,4.95036149908496,1.52668994024006,1.9856764481248,0.198349232264842,3.9720902170191,0.467825261285702
"Least Squares",50,100,1.00955179817043,0.036953986660816,3.00872070604709,0.0378083620290854,5.02088460041295,0.861948742218945,1.98046602430911,0.431037647667795,3.99385213260467,0.287715495230353
"Fixed Effects",100,10,2.09071490629899,1.13103739593724,4.08528967375742,1.12466769917084,NA,NA,NA,NA,NA,NA
"Fixed Effects",100,20,2.09985705575134,1.11709163890025,4.10406338466756,1.12135062760718,NA,NA,NA,NA,NA,NA
"Fixed Effects",100,50,2.10512413764501,1.11210883710299,4.10151971845231,1.10814190285286,NA,NA,NA,NA,NA,NA
"Fixed Effects",100,100,2.10400701169502,1.10791236617799,4.10317498506744,1.10705591093829,NA,NA,NA,NA,NA,NA
"Fixed Effects",10,100,2.11638968388483,1.12973436704506,4.11927096396759,1.13379375182777,NA,NA,NA,NA,NA,NA
"Fixed Effects",20,100,2.11471552529274,1.12294337630891,4.11185865785773,1.12043301210199,NA,NA,NA,NA,NA,NA
"Fixed Effects",50,100,2.11074319110602,1.1158717099167,4.10795706389307,1.11305976444111,NA,NA,NA,NA,NA,NA
