"method","N","T_","Mean beta1","SD beta1","Mean beta2","SD beta2"
"Least Squares",100,10,1.09856027732334,0.0199762931538037,3.11637067626072,0.0239982351782373
"Least Squares",100,20,1.1020929840208,0.0187630932978162,3.11187181967916,0.0200484189149724
"Least Squares",100,50,1.04208851672275,0.00700962506220835,3.04722042000235,0.00771410287092613
"Least Squares",100,100,1.00474129850165,0.000868205159009748,3.00768058341467,0.000865861099334249
"Least Squares",10,100,1.13129080535733,0.0252772719740803,3.10727952808664,0.0198481620082254
"Least Squares",20,100,1.09950025938003,0.0183962956699761,3.10028215439873,0.017618382959217
"Least Squares",50,100,1.0574587178934,0.00922421173347724,3.06020202259567,0.00940839048248819
"Fixed Effects",100,10,0.989504458722441,0.00508037438572915,3.00287829353257,0.00495352510798622
"Fixed Effects",100,20,0.996310417642668,0.0024420008991605,3.00461657692102,0.00221962250698867
"Fixed Effects",100,50,0.997512777306626,0.000755825404390808,3.0018989610163,0.000801199040342655
"Fixed Effects",100,100,0.997341564815045,0.000514701893990289,3.00029420298913,0.000446728299056896
"Fixed Effects",10,100,1.01243028576322,0.00447607159456319,2.99972277191989,0.00384038609414837
"Fixed Effects",20,100,0.994454425765165,0.00169578900607755,2.99484066957154,0.0024283731373653
"Fixed Effects",50,100,1.00011087682544,0.00085242762433518,3.00151117276772,0.000558514426293274
