"method","N","T_","Mean beta1","SD beta1","Mean beta2","SD beta2","Mean mu","SD mu"
"Least Squares",100,10,1.05532232289715,0.0192452440493073,3.05170324442847,0.0141321447597906,4.71860264725828,0.319038738326792
"Least Squares",100,20,1.02508437541121,0.00600859043771666,3.03565246019182,0.0060815341896033,4.87948906328583,0.0974764541402533
"Least Squares",100,50,1.00896018828406,0.000942526836927577,3.00694579371615,0.00103031827909876,4.97945587625873,0.0042966182041506
"Least Squares",100,100,1.00617869144546,0.000435357508660732,3.00407697633687,0.000457303775587203,4.99014311391838,0.00161651908492544
"Least Squares",10,100,1.05005614873347,0.0172837227085651,3.04166629292672,0.012418955716741,4.71921794705419,0.455696880027372
"Least Squares",20,100,1.0304569253155,0.00606427091400279,3.02779503628822,0.00580926735562632,4.88496081743378,0.0933055237855388
"Least Squares",50,100,1.01041231748322,0.00125696781016688,3.00704459848808,0.00111298319189868,4.97873017593679,0.00358944961565439
"Fixed Effects",100,10,1.22842168051801,0.0556335107932357,3.22549442235284,0.0551638994633056,NA,NA
"Fixed Effects",100,20,1.21221433247706,0.0473197385196549,3.22380645024523,0.051912625378666,NA,NA
"Fixed Effects",100,50,1.22421627862471,0.0509068524711803,3.22240630827974,0.0503299162908848,NA,NA
"Fixed Effects",100,100,1.22402204858666,0.05072497140822,3.22332918242376,0.0504420098352463,NA,NA
"Fixed Effects",10,100,1.2222677598376,0.0530935741303025,3.21099735737145,0.0489479984373218,NA,NA
"Fixed Effects",20,100,1.21429372351863,0.0484455430577782,3.20827917975064,0.0453241976699453,NA,NA
"Fixed Effects",50,100,1.22115806235012,0.0499673421763473,3.22223162922188,0.0505359803012797,NA,NA
