"method","N","T_","Mean beta1","SD beta1","Mean beta2","SD beta2","Mean mu","SD mu","Mean gamma","SD gamma","Mean delta","SD delta"
"Least Squares",100,10,1.10667045638097,0.0307219026240971,3.11072111319602,0.0304044430680909,3.9718861856542,11.9291615757833,1.99139308479763,0.0790304897731799,3.97014052136873,0.107581975563213
"Least Squares",100,20,1.04163128530075,0.00811436012508026,3.03876178645069,0.00740796093122756,4.78268364885337,0.485693982043514,2.0129226283277,0.0111676002503738,3.99902237363653,0.00788470934315228
"Least Squares",100,50,1.0075165899392,0.00129965373178027,3.01284474396794,0.00147450830600834,4.96608488112078,0.00822930154384578,2.00385824324378,0.00116909646150077,4.00235730050182,0.00106769646365603
"Least Squares",100,100,1.00584294102354,0.000377234793855206,3.00588691661646,0.000532817444132661,4.98649315517776,0.00179749323367772,1.99683721927249,0.000480773160633786,4.00451501820961,0.000648424148492475
"Least Squares",10,100,1.09008333926759,0.0256246723032859,3.09923062845389,0.0243191881135493,4.85228101209083,4.67016409001307,1.93672632804349,0.219485767416379,3.98520245554993,0.0237165993859738
"Least Squares",20,100,1.03285207537237,0.00830328548174109,3.04283321602598,0.00890071252713797,5.22516709951367,6.37851189116237,1.94051082143328,0.220930772509494,3.97847896155859,0.040869215149047
"Least Squares",50,100,1.00243981565152,0.000864769050435945,3.00562298969988,0.000942174029502634,4.97795732515681,0.00401369358121621,2.00169349802941,0.000964130791791873,3.99629897952469,0.00122504509838535
"Fixed Effects",100,10,2.04705802951237,1.17212125136244,4.07273719663859,1.22440830897328,NA,NA,NA,NA,NA,NA
"Fixed Effects",100,20,2.09584803313718,1.23849263523384,4.09973162629373,1.24483095117437,NA,NA,NA,NA,NA,NA
"Fixed Effects",100,50,2.09504388014012,1.21618162092416,4.11083789859465,1.24946566504039,NA,NA,NA,NA,NA,NA
"Fixed Effects",100,100,2.10902085799779,1.23844630822328,4.10578876038733,1.22950136382986,NA,NA,NA,NA,NA,NA
"Fixed Effects",10,100,2.10253348973483,1.24791712871309,4.12191776817933,1.28935747609725,NA,NA,NA,NA,NA,NA
"Fixed Effects",20,100,2.0837997554374,1.1936788215934,4.11785047583552,1.26771071385018,NA,NA,NA,NA,NA,NA
"Fixed Effects",50,100,2.11739824718641,1.2588926192966,4.12432552598996,1.27519160967266,NA,NA,NA,NA,NA,NA
